"module" "Zsummaries" "comp" "comp_group" "noise" "module_size"
"325" "mediumpurple3" 8.90222 "a2" "a" 0.5 196
"326" "mediumpurple3" 7.45482 "a2" "a" 0.5 196
"327" "mediumpurple3" 11.36932 "a2" "a" 0.5 196
"328" "mediumpurple3" 11.98552 "a2" "a" 0.5 196
"329" "mediumpurple3" 8.74285 "a3" "a" 0.5 196
"330" "mediumpurple3" 7.52931 "a3" "a" 0.5 196
"331" "mediumpurple3" 10.76705 "a3" "a" 0.5 196
"332" "mediumpurple3" 12.6099 "a3" "a" 0.5 196
"333" "mediumpurple3" 9.76371 "a4" "a" 0.5 196
"334" "mediumpurple3" 7.49715 "a4" "a" 0.5 196
"335" "mediumpurple3" 9.77349 "a4" "a" 0.5 196
"336" "mediumpurple3" 13.10946 "a4" "a" 0.5 196
"337" "mediumpurple3" 8.89637 "a5" "a" 0.5 196
"338" "mediumpurple3" 8.43976 "a5" "a" 0.5 196
"339" "mediumpurple3" 12.46076 "a5" "a" 0.5 196
"340" "mediumpurple3" 13.82503 "a5" "a" 0.5 196
"341" "mediumpurple3" 7.80101 "h1" "h" 0.5 196
"342" "mediumpurple3" 8.36246 "h1" "h" 0.5 196
"343" "mediumpurple3" 10.67258 "h1" "h" 0.5 196
"344" "mediumpurple3" 13.70055 "h1" "h" 0.5 196
"345" "mediumpurple3" 7.78444 "h2" "h" 0.5 196
"346" "mediumpurple3" 7.00914 "h2" "h" 0.5 196
"347" "mediumpurple3" 12.01586 "h2" "h" 0.5 196
"348" "mediumpurple3" 13.49848 "h2" "h" 0.5 196
"349" "mediumpurple3" 7.83281 "h3" "h" 0.5 196
"350" "mediumpurple3" 7.48606 "h3" "h" 0.5 196
"351" "mediumpurple3" 11.40533 "h3" "h" 0.5 196
"352" "mediumpurple3" 13.32459 "h3" "h" 0.5 196
"353" "mediumpurple3" 8.91786 "h4" "h" 0.5 196
"354" "mediumpurple3" 7.57605 "h4" "h" 0.5 196
"355" "mediumpurple3" 11.93131 "h4" "h" 0.5 196
"356" "mediumpurple3" 10.31488 "h4" "h" 0.5 196
"357" "mediumpurple3" 7.95695 "h5" "h" 0.5 196
"358" "mediumpurple3" 7.11251 "h5" "h" 0.5 196
"359" "mediumpurple3" 11.16122 "h5" "h" 0.5 196
"360" "mediumpurple3" 13.54378 "h5" "h" 0.5 196
"361" "orangered4" 8.23765 "c1" "c" 0.5 196
"362" "orangered4" 5.62182 "c1" "c" 0.5 196
"363" "orangered4" 10.38107 "c1" "c" 0.5 196
