"module" "comp" "comp_group" "noise" "score" "conserved" "module_size"
"252" "skyblue3" "a3" "a" 2 6.1381 FALSE 223
"253" "skyblue3" "a4" "a" 0.1 8.8092 FALSE 223
"254" "skyblue3" "a4" "a" 0.5 8.7767 FALSE 223
"255" "skyblue3" "a4" "a" 1 7.3228 FALSE 223
"256" "skyblue3" "a4" "a" 2 6.0962 FALSE 223
"257" "skyblue3" "a5" "a" 0.1 9.46 FALSE 223
"258" "skyblue3" "a5" "a" 0.5 9.4579 FALSE 223
"259" "skyblue3" "a5" "a" 1 7.5245 FALSE 223
"260" "skyblue3" "a5" "a" 2 6.4223 FALSE 223
"261" "skyblue3" "c1" "c" 0.1 8.7946 FALSE 223
"262" "skyblue3" "c1" "c" 0.5 8.7148 FALSE 223
"263" "skyblue3" "c1" "c" 1 7.8233 FALSE 223
"264" "skyblue3" "c1" "c" 2 6.5378 FALSE 223
"265" "skyblue3" "c2" "c" 0.1 8.8554 FALSE 223
"266" "skyblue3" "c2" "c" 0.5 8.8181 FALSE 223
"267" "skyblue3" "c2" "c" 1 7.3504 FALSE 223
"268" "skyblue3" "c2" "c" 2 6.2737 FALSE 223
"269" "skyblue3" "c3" "c" 0.1 8.6181 FALSE 223
"270" "skyblue3" "c3" "c" 0.5 8.8108 FALSE 223
"271" "skyblue3" "c3" "c" 1 7.3977 FALSE 223
"272" "skyblue3" "c3" "c" 2 7.2489 FALSE 223
"273" "skyblue3" "c4" "c" 0.1 9.088 FALSE 223
"274" "skyblue3" "c4" "c" 0.5 8.9024 FALSE 223
"275" "skyblue3" "c4" "c" 1 7.6406 FALSE 223
"276" "skyblue3" "c4" "c" 2 6.494 FALSE 223
"277" "skyblue3" "c5" "c" 0.1 8.7996 FALSE 223
"278" "skyblue3" "c5" "c" 0.5 8.6959 FALSE 223
"279" "skyblue3" "c5" "c" 1 7.9583 FALSE 223
"280" "skyblue3" "c5" "c" 2 6.662 FALSE 223
"281" "skyblue3" "h1" "h" 0.1 9.3478 FALSE 223
"282" "skyblue3" "h1" "h" 0.5 9.1319 FALSE 223
"283" "skyblue3" "h1" "h" 1 7.7644 FALSE 223
"284" "skyblue3" "h1" "h" 2 6.5153 FALSE 223
