"module" "Zsummaries" "comp" "module_size" "Case"
"325" "grey60" 16.89141 "4p" 607 "D"
"326" "grey60" 1.30396 "n4p" 607 "D"
"327" "grey60" -0.36906 "4p" 607 "D"
"328" "grey60" 5.23662 "n4p" 607 "D"
"329" "grey60" 0.56377 "4p" 607 "D"
"330" "grey60" 12.28296 "n4p" 607 "D"
"331" "lightcyan" 6.11149 "4p" 622 "B"
"332" "lightcyan" 1.9514 "n4p" 622 "B"
"333" "lightcyan" 0.80975 "4p" 622 "B"
"334" "lightcyan" 4.27673 "n4p" 622 "B"
"335" "lightcyan" 1.32117 "4p" 622 "B"
"336" "lightcyan" 6.38581 "n4p" 622 "B"
"337" "lightcyan" 0.73821 "4p" 622 "B"
"338" "lightcyan" 1.07924 "n4p" 622 "B"
"339" "lightcyan" 4.98774 "4p" 622 "B"
"340" "lightcyan" 0.86222 "n4p" 622 "B"
"341" "lightcyan" 3.36332 "4p" 622 "B"
"342" "lightcyan" 1.68462 "n4p" 622 "B"
"343" "lightcyan" 4.61929 "4p" 622 "B"
"344" "lightcyan" -0.42303 "n4p" 622 "B"
"345" "lightcyan" 2.4641 "4p" 622 "B"
"346" "lightcyan" 1.06478 "n4p" 622 "B"
"347" "lightcyan" 5.25919 "4p" 622 "B"
"348" "lightcyan" 2.1951 "n4p" 622 "B"
"349" "lightcyan" 1.26342 "4p" 622 "B"
"350" "lightcyan" 3.43857 "n4p" 622 "B"
"351" "lightcyan" 5.04173 "4p" 622 "B"
"352" "lightcyan" 6.76098 "n4p" 622 "B"
"353" "lightcyan" 0.79425 "4p" 622 "B"
"354" "lightcyan" 0.40196 "n4p" 622 "B"
"355" "lightcyan" 4.99556 "4p" 622 "B"
"356" "lightcyan" 0.83842 "n4p" 622 "B"
"357" "lightcyan" 2.19876 "4p" 622 "B"
"358" "lightcyan" -0.08853 "n4p" 622 "B"
"359" "lightcyan" 3.04211 "4p" 622 "B"
"360" "lightcyan" 0.26275 "n4p" 622 "B"
"361" "lightcyan" 0.41501 "4p" 622 "B"
"362" "lightcyan" 2.13195 "n4p" 622 "B"
"363" "midnightblue" -0.36544 "4p" 691 "D"
"364" "midnightblue" 0.49219 "n4p" 691 "D"
"365" "midnightblue" 2.00136 "4p" 691 "D"
"366" "midnightblue" 2.73515 "n4p" 691 "D"
"367" "midnightblue" 0.99819 "4p" 691 "D"
"368" "midnightblue" 0.16309 "n4p" 691 "D"
"369" "midnightblue" 1.42284 "4p" 691 "D"
"370" "midnightblue" 0.67356 "n4p" 691 "D"
"371" "midnightblue" 0.79752 "4p" 691 "D"
"372" "midnightblue" 3.97071 "n4p" 691 "D"
"373" "midnightblue" 2.89315 "4p" 691 "D"
"374" "midnightblue" 0.92039 "n4p" 691 "D"
"375" "midnightblue" 1.84561 "4p" 691 "D"
"376" "midnightblue" 3.67233 "n4p" 691 "D"
"377" "midnightblue" 1.01301 "4p" 691 "D"
"378" "midnightblue" -0.38388 "n4p" 691 "D"
"379" "midnightblue" -0.96579 "4p" 691 "D"
"380" "midnightblue" 0.97044 "n4p" 691 "D"
"381" "midnightblue" -0.98112 "4p" 691 "D"
"382" "midnightblue" 0.06577 "n4p" 691 "D"
"383" "midnightblue" 1.398 "4p" 691 "D"
"384" "midnightblue" 3.32438 "n4p" 691 "D"
"385" "cyan" 1.14811 "4p" 712 "D"
"386" "cyan" 0.27542 "n4p" 712 "D"
"387" "cyan" 0.70265 "4p" 712 "D"
"388" "cyan" 1.78806 "n4p" 712 "D"
"389" "cyan" 2.51452 "4p" 712 "D"
"390" "cyan" 0.36162 "n4p" 712 "D"
"391" "cyan" 2.64821 "4p" 712 "D"
"392" "cyan" 0.67054 "n4p" 712 "D"
"393" "cyan" 0.38964 "4p" 712 "D"
"394" "cyan" 2.87122 "n4p" 712 "D"
"395" "cyan" 2.16464 "4p" 712 "D"
"396" "cyan" 0.66382 "n4p" 712 "D"
"397" "cyan" 1.48792 "4p" 712 "D"
"398" "cyan" 0.31911 "n4p" 712 "D"
"399" "cyan" 0.91283 "4p" 712 "D"
"400" "cyan" 2.4855 "n4p" 712 "D"
"401" "cyan" 1.31675 "4p" 712 "D"
"402" "cyan" -0.39904 "n4p" 712 "D"
"403" "cyan" -0.18014 "4p" 712 "D"
"404" "cyan" -0.36448 "n4p" 712 "D"
"405" "cyan" 1.72682 "4p" 712 "D"
"406" "cyan" 0.48205 "n4p" 712 "D"
"407" "cyan" 4.75181 "4p" 712 "D"
"408" "cyan" 0.18354 "n4p" 712 "D"
"409" "salmon" 0.92865 "4p" 727 "A"
"410" "salmon" 10.78558 "n4p" 727 "A"
"411" "salmon" 0.30742 "4p" 727 "A"
"412" "salmon" 2.10185 "n4p" 727 "A"
"413" "salmon" 9.76991 "4p" 727 "A"
"414" "salmon" 4.47892 "n4p" 727 "A"
"415" "salmon" 1.72809 "4p" 727 "A"
"416" "salmon" 3.08068 "n4p" 727 "A"
"417" "salmon" 3.96349 "4p" 727 "A"
"418" "salmon" 2.47748 "n4p" 727 "A"
"419" "salmon" 2.05208 "4p" 727 "A"
"420" "salmon" 4.88446 "n4p" 727 "A"
"421" "salmon" 1.17079 "4p" 727 "A"
"422" "salmon" 2.50493 "n4p" 727 "A"
"423" "salmon" 0.46989 "4p" 727 "A"
"424" "salmon" 13.32451 "n4p" 727 "A"
"425" "salmon" 1.00493 "4p" 727 "A"
"426" "salmon" 1.76976 "n4p" 727 "A"
"427" "salmon" 10.0758 "4p" 727 "A"
"428" "salmon" 0.85412 "n4p" 727 "A"
"429" "salmon" 0.84882 "4p" 727 "A"
"430" "salmon" 6.78095 "n4p" 727 "A"
"431" "salmon" 2.45323 "4p" 727 "A"
"432" "salmon" -0.6835 "n4p" 727 "A"
"433" "salmon" 2.02054 "4p" 727 "A"
"434" "salmon" 4.9121 "n4p" 727 "A"
"435" "salmon" 2.91755 "4p" 727 "A"
"436" "salmon" -0.01414 "n4p" 727 "A"
"437" "salmon" 5.53986 "4p" 727 "A"
"438" "salmon" 2.94547 "n4p" 727 "A"
"439" "salmon" 2.14426 "4p" 727 "A"
"440" "salmon" 1.64602 "n4p" 727 "A"
"441" "salmon" 7.738 "4p" 727 "A"
"442" "salmon" 2.26772 "n4p" 727 "A"
