"D154" "D151" "D171" "D135" "D168" "D159"
"DIABRO_000163" 7.72581840022823 7.94382945580726 6.08930683229132 7.56919707587504 8.11075301631193 5.88649508850194
"DIABRO_000164" 10.3158122745463 10.4458993539782 10.4117856437169 10.0918466873147 10.0641992280925 10.135807480248
"DIABRO_000166" 10.9856452481934 11.2169449894573 11.0569091833362 10.4888636355106 10.4861717323636 10.8682523466016
"DIABRO_000167" 8.21402445007157 9.00263041461149 9.26104689134983 7.56293091611706 7.91095279758466 8.50604649754917
"DIABRO_000168" 5.57890891326941 5.85440638370326 6.43864588119461 5.54136022560532 5.48910861798042 6.36225639564776
"DIABRO_000169" 6.85687987288112 6.6929824852188 6.79127983344259 7.05670463515454 6.67500214975958 6.90467580721751
"DIABRO_000172" 9.2815113282786 9.17392389324958 8.73699663748622 9.03179840461886 8.5740135836732 8.12750097510119
"DIABRO_000174" 9.86004358672139 10.0258728074319 9.11747744809028 10.1993789578094 10.4097841790884 9.90153438367114
"DIABRO_000175" 7.16222316066444 7.23077066462142 7.83659759444049 7.58782311056323 7.10670897240046 7.25149171914904
"DIABRO_000176" 7.5801568259072 7.70054722301923 8.79837201302573 7.65986855942316 7.64113630455 7.93883641455919
"DIABRO_000177" 9.14639947025161 8.94567939029492 10.4173544170154 9.85666059194216 9.76917171332469 12.246049209732
"DIABRO_000178" 6.26492824526311 6.15388144214072 6.36695799878498 6.21672104615658 6.17178338466767 6.13008622625745
"DIABRO_000179" 7.47354285847992 7.36463246888356 9.39531291886446 7.68879636820119 7.92221607773713 10.2607795269221
"DIABRO_000180" 10.1573006532508 10.6757553230961 9.46161510990018 11.0532448147248 12.1354159944267 11.2423969969229
"DIABRO_000182" 5.84990334001431 6.15388144214072 6.08930683229132 5.68091019277146 6.71358613229074 5.88649508850194
"DIABRO_000183" 10.4528020737494 10.1248007569463 9.4848245238377 10.4133597904615 10.2531737828962 10.0668249153897
"DIABRO_000184" 6.09621638576507 6.82314945073009 6.28981736357517 6.81234544928265 7.79296364310864 7.13667240821437
"DIABRO_000185" 10.7068486640604 11.5945909606428 10.5932844384714 10.5734823926831 10.8449099265417 10.9584113464455
"DIABRO_000186" 6.12234034152614 5.69519984061999 6.93424314357298 6.04403421127023 5.81918790863331 6.13008622625745
"DIABRO_000190" 8.28619177023743 8.41778195981068 8.23318577840464 8.21151078852052 8.03354686983979 8.02544844692804
"DIABRO_000191" 5.51575601002663 5.40119277784278 5.61667471646197 5.59251025025394 5.67951016116902 5.58685203486626
"DIABRO_000192" 8.30800561694998 6.92174470366276 8.79263931164708 7.71150499978658 6.95334620237583 7.34501931286289
"DIABRO_000193" 8.79111267727001 8.8032352156529 8.53173539068933 8.67862418477073 8.96254100139745 8.90197388597354
"DIABRO_000194" 11.303142368138 12.2597836575306 12.5332756378638 11.7175471206933 11.405679794178 10.9635707984098
"DIABRO_000195" 11.3047515027348 11.2275542774684 11.1837185624756 11.0607924888424 10.9533555808311 10.9840259405594
"DIABRO_000196" 7.93870673824831 8.30753947389865 8.91108373202875 7.96761572409647 8.50906538635047 8.3469696156624
"DIABRO_000198" 10.3505208723005 10.3863623372297 10.4385041991382 10.1737368752968 10.1699148953955 9.78223477582378
"DIABRO_000200" 11.5121123445049 11.8467701184399 13.3750860454274 11.607756709331 10.8717284313399 11.4517893978104
"DIABRO_000202" 11.242305827827 9.28167832569204 10.4330167235352 9.92803622741341 8.61571768431875 9.09461458294021
"DIABRO_000203" 5.95170468939648 5.61689101584826 5.92388633255518 5.32335330900601 5.67951016116902 5.38367851377078
"DIABRO_000204" 8.6521365557109 9.69056656198191 9.11976366872607 9.52938996227289 10.2385232829846 9.96001970271627
"DIABRO_000208" 7.80877907995513 6.39192683705532 8.10844041318353 7.38164325923864 6.66515089127494 7.0489480935734
"DIABRO_000209" 8.20938856355782 8.30077831211756 9.12432518690589 8.02710974206817 8.35857843740668 8.60134972205803
"DIABRO_000210" 9.61710417919263 9.82022505056281 10.121181076165 9.78677576270865 9.62102045236812 9.73027725492443
"DIABRO_000211" 13.5385655631921 14.2846658522872 13.0538162921737 13.2569385828671 13.6376382123503 13.5861441986836
"DIABRO_000212" 12.2399491761337 11.3664304195191 11.515373871515 11.7555765248683 10.7360036956742 10.948982960642
"DIABRO_000213" 11.3202145999647 9.84573053199843 10.636095844097 10.5251820331985 10.1936558636744 9.71364786307119
"DIABRO_000214" 11.7281639701732 10.9139132175276 12.1580408981133 11.3204045025445 10.2905820429542 10.3566360340045
"DIABRO_000215" 8.78184464200115 8.96066377494086 8.35167911231798 9.70369740736232 9.43022280917841 9.1551115417039
"DIABRO_000216" 11.156979960558 12.3652162388369 11.8507711883423 11.3395885684893 11.2228844084101 11.9172411515942
"DIABRO_000222" 11.8855333816546 10.7413994814943 10.7863645964662 9.73507950934184 11.1127897954971 10.3616209315152
"DIABRO_000223" 12.5576819304859 12.9395674594123 12.9419457425784 12.1926421749149 12.592748937238 12.5955177911842
