"preprocessed" "module_detected" "compared" "submodule_detected"
"DIABRO_000409" TRUE "blue" TRUE "magenta"
"DIABRO_000410" TRUE "purple" TRUE "red"
"DIABRO_000411" TRUE "midnightblue" TRUE "green"
"DIABRO_000412" TRUE "yellow" TRUE "grey60"
"DIABRO_000413" TRUE "greenyellow" TRUE "black"
"DIABRO_000415" TRUE "yellow" TRUE "red"
"DIABRO_000419" TRUE "purple" TRUE "pink"
"DIABRO_000420" TRUE "tan" TRUE "turquoise"
"DIABRO_000421" TRUE "brown" TRUE "darkturquoise"
"DIABRO_000422" TRUE "brown" TRUE "purple"
"DIABRO_000424" TRUE "midnightblue" TRUE "magenta"
"DIABRO_000426" TRUE "grey60" TRUE "turquoise"
"DIABRO_000428" TRUE "pink" TRUE "turquoise"
"DIABRO_000429" TRUE "green" TRUE "turquoise"
"DIABRO_000430" TRUE "green" TRUE "turquoise"
"DIABRO_000431" TRUE "turquoise" TRUE "blue"
"DIABRO_000432" TRUE "yellow" TRUE "orange"
"DIABRO_000433" TRUE "darkorange" TRUE "turquoise"
"DIABRO_000434" TRUE "red" TRUE "yellow"
"DIABRO_000435" TRUE "salmon" TRUE "turquoise"
"DIABRO_000439" TRUE "steelblue" TRUE "blue"
"DIABRO_000440" TRUE "magenta" TRUE "black"
"DIABRO_000441" TRUE "darkolivegreen" TRUE "yellow"
"DIABRO_000442" TRUE "black" TRUE "grey60"
"DIABRO_000443" TRUE "grey60" TRUE "turquoise"
"DIABRO_000444" TRUE "darkturquoise" TRUE "turquoise"
"DIABRO_000445" TRUE "salmon" TRUE "salmon"
"DIABRO_000446" TRUE "yellowgreen" TRUE "turquoise"
"DIABRO_000450" TRUE "blue" TRUE "tan"
"DIABRO_000452" TRUE "green" TRUE "turquoise"
"DIABRO_000453" TRUE "yellow" TRUE "purple"
"DIABRO_000454" TRUE "cyan" TRUE "turquoise"
"DIABRO_000460" TRUE "grey60" TRUE "blue"
"DIABRO_000461" TRUE "blue" TRUE "tan"
"DIABRO_000462" TRUE "yellowgreen" TRUE "turquoise"
"DIABRO_000463" TRUE "saddlebrown" TRUE "turquoise"
"DIABRO_000465" TRUE "blue" TRUE "orange"
"DIABRO_000466" TRUE "brown" TRUE "paleturquoise"
"DIABRO_000468" TRUE "midnightblue" TRUE "blue"
"DIABRO_000469" TRUE "darkred" TRUE "blue"
"DIABRO_000470" TRUE "orange" TRUE "yellow"
"DIABRO_000471" TRUE "grey60" TRUE "turquoise"
"DIABRO_000472" TRUE "turquoise" TRUE "yellow"
"DIABRO_000473" TRUE "darkgrey" TRUE "yellow"
"DIABRO_000474" TRUE "green" TRUE "turquoise"
"DIABRO_000475" TRUE "green" TRUE "turquoise"
"DIABRO_000476" TRUE "orangered4" TRUE "brown"
"DIABRO_000477" TRUE "yellow" TRUE "darkgreen"
"DIABRO_000478" TRUE "red" TRUE "turquoise"
"DIABRO_000479" TRUE "brown" TRUE "yellow"
"DIABRO_000480" TRUE "pink" TRUE "black"
"DIABRO_000481" TRUE "sienna3" TRUE "turquoise"
"DIABRO_000482" TRUE "black" TRUE "pink"
"DIABRO_000483" TRUE "blue" TRUE "pink"
"DIABRO_000484" TRUE "blue" TRUE "greenyellow"
"DIABRO_000485" TRUE "blue" TRUE "lightyellow"
"DIABRO_000487" TRUE "grey60" TRUE "turquoise"
"DIABRO_000488" TRUE "turquoise" TRUE "turquoise"
"DIABRO_000489" TRUE "purple" TRUE "turquoise"
"DIABRO_000491" TRUE "tan" TRUE "turquoise"
"DIABRO_000492" TRUE "darkturquoise" TRUE "blue"
"DIABRO_000493" TRUE "brown" TRUE "midnightblue"
"DIABRO_000494" TRUE "turquoise" TRUE "turquoise"
"DIABRO_000495" TRUE "black" TRUE "red"
"DIABRO_000496" TRUE "turquoise" TRUE "turquoise"
"DIABRO_000497" TRUE "yellow" TRUE "brown"
"DIABRO_000498" TRUE "magenta" TRUE "yellow"
"DIABRO_000499" TRUE "red" TRUE "turquoise"
"DIABRO_000500" TRUE "turquoise" TRUE "turquoise"
"DIABRO_000501" TRUE "grey" TRUE "grey"
"DIABRO_000502" TRUE "green" TRUE "turquoise"
"DIABRO_000503" TRUE "salmon" TRUE "turquoise"
"DIABRO_000512" TRUE "tan" TRUE "turquoise"
"DIABRO_000513" TRUE "salmon" TRUE "turquoise"
"DIABRO_000514" TRUE "brown" TRUE "green"
"DIABRO_000515" TRUE "salmon" TRUE "turquoise"
"DIABRO_000516" TRUE "saddlebrown" TRUE "turquoise"
"DIABRO_000517" TRUE "skyblue3" TRUE "brown"
"DIABRO_000518" TRUE "brown" TRUE "steelblue"
"DIABRO_000520" TRUE "purple" TRUE "black"
"DIABRO_000521" TRUE "orangered4" TRUE "turquoise"
"DIABRO_000523" TRUE "violet" TRUE "turquoise"
"DIABRO_000524" TRUE "violet" TRUE "green"
"DIABRO_000525" TRUE "steelblue" TRUE "turquoise"
"DIABRO_000527" TRUE "yellow" TRUE "brown"
"DIABRO_000529" TRUE "red" TRUE "magenta"
"DIABRO_000530" TRUE "black" TRUE "cyan"
"DIABRO_000531" TRUE "lightcyan" TRUE "brown"
"DIABRO_000532" TRUE "red" TRUE "red"
"DIABRO_000533" TRUE "steelblue" TRUE "yellow"
"DIABRO_000534" TRUE "lightyellow" TRUE "turquoise"
"DIABRO_000535" TRUE "brown" TRUE "darkred"
"DIABRO_000536" TRUE "grey60" TRUE "turquoise"
"DIABRO_000537" TRUE "turquoise" TRUE "red"
"DIABRO_000538" TRUE "green" TRUE "turquoise"
"DIABRO_000539" TRUE "blue" TRUE "brown"
"DIABRO_000543" TRUE "darkorange" TRUE "brown"
"DIABRO_000544" TRUE "darkgrey" TRUE "green"
"DIABRO_000545" TRUE "green" TRUE "turquoise"
"DIABRO_000546" TRUE "cyan" TRUE "turquoise"
"DIABRO_000548" TRUE "brown" TRUE "grey60"
"DIABRO_000550" TRUE "lightyellow" TRUE "brown"
"DIABRO_000551" TRUE "purple" TRUE "black"
"DIABRO_000552" TRUE "yellow" TRUE "green"
"DIABRO_000553" TRUE "red" TRUE "turquoise"
"DIABRO_000554" TRUE "purple" TRUE "yellow"
"DIABRO_000556" TRUE "green" TRUE "turquoise"
"DIABRO_000557" TRUE "white" TRUE "turquoise"
"DIABRO_000558" TRUE "green" TRUE "turquoise"
"DIABRO_000559" TRUE "blue" TRUE "midnightblue"
"DIABRO_000560" TRUE "green" TRUE "turquoise"
"DIABRO_000562" TRUE "grey" TRUE "grey"
"DIABRO_000563" TRUE "yellow" TRUE "lightgreen"
"DIABRO_000564" TRUE "yellow" TRUE "tan"
"DIABRO_000566" TRUE "yellow" TRUE "black"
"DIABRO_000567" TRUE "yellowgreen" TRUE "yellow"
"DIABRO_000568" TRUE "brown" TRUE "pink"
"DIABRO_000569" TRUE "royalblue" TRUE "brown"
"DIABRO_000570" TRUE "green" TRUE "turquoise"
"DIABRO_000571" TRUE "turquoise" TRUE "brown"
"DIABRO_000572" TRUE "darkorange" TRUE "green"
"DIABRO_000573" TRUE "lightsteelblue1" TRUE "blue"
"DIABRO_000575" TRUE "purple" TRUE "green"
"DIABRO_000576" TRUE "salmon" TRUE "yellow"
"DIABRO_000578" TRUE "darkturquoise" TRUE "turquoise"
"DIABRO_000579" TRUE "skyblue" TRUE "turquoise"
"DIABRO_000580" TRUE "darkgreen" TRUE "turquoise"
"DIABRO_000582" TRUE "darkred" TRUE "brown"
"DIABRO_000583" TRUE "steelblue" TRUE "green"
"DIABRO_000584" TRUE "turquoise" TRUE "blue"
"DIABRO_000585" TRUE "red" TRUE "black"
"DIABRO_000586" TRUE "turquoise" TRUE "turquoise"
"DIABRO_000587" TRUE "tan" TRUE "turquoise"
"DIABRO_000588" TRUE "tan" TRUE "turquoise"
"DIABRO_000589" TRUE "tan" TRUE "turquoise"
"DIABRO_000592" TRUE "lightcyan" TRUE "cyan"
"DIABRO_000593" TRUE "yellow" TRUE "salmon"
"DIABRO_000594" TRUE "blue" TRUE "yellow"
"DIABRO_000595" TRUE "skyblue" TRUE "blue"
"DIABRO_000596" TRUE "grey" TRUE "grey"
"DIABRO_000597" TRUE "royalblue" TRUE "turquoise"
"DIABRO_000598" TRUE "turquoise" TRUE "red"
"DIABRO_000599" TRUE "pink" TRUE "salmon"
"DIABRO_000600" TRUE "saddlebrown" TRUE "turquoise"
"DIABRO_000601" TRUE "darkgrey" TRUE "blue"
"DIABRO_000602" TRUE "green" TRUE "turquoise"
"DIABRO_000603" TRUE "turquoise" TRUE "turquoise"
"DIABRO_000605" TRUE "yellow" TRUE "greenyellow"
"DIABRO_000606" TRUE "steelblue" TRUE "turquoise"
"DIABRO_000607" TRUE "mediumpurple3" TRUE "blue"
"DIABRO_000608" TRUE "red" TRUE "brown"
"DIABRO_000609" TRUE "darkgrey" TRUE "turquoise"
"DIABRO_000610" TRUE "red" TRUE "turquoise"
"DIABRO_000611" TRUE "midnightblue" TRUE "blue"
"DIABRO_000612" TRUE "green" TRUE "turquoise"
"DIABRO_000614" TRUE "lightyellow" TRUE "green"
"DIABRO_000616" TRUE "green" TRUE "turquoise"
"DIABRO_000618" TRUE "blue" TRUE "black"
"DIABRO_000619" TRUE "mediumpurple3" TRUE "turquoise"
