"noise" "comp_group" "module" "cons"
"235" 0.5 "h" "paleturquoise" 5
"236" 0.5 "h" "pink" 5
"237" 0.5 "h" "plum1" 0
"238" 0.5 "h" "purple" 5
"239" 0.5 "h" "red" 5
"240" 0.5 "h" "royalblue" 0
"241" 0.5 "h" "saddlebrown" NA
"242" 0.5 "h" "salmon" 1
"243" 0.5 "h" "sienna3" 1
"244" 0.5 "h" "skyblue" NA
"245" 0.5 "h" "skyblue3" 0
"246" 0.5 "h" "steelblue" 5
"247" 0.5 "h" "tan" 1
"248" 0.5 "h" "turquoise" 5
"249" 0.5 "h" "violet" 3
"250" 0.5 "h" "white" 4
"251" 0.5 "h" "yellow" NA
"252" 0.5 "h" "yellowgreen" 2
"253" 1 "a" "black" 0
"254" 1 "a" "blue" 0
"255" 1 "a" "brown" 0
"256" 1 "a" "cyan" 0
"257" 1 "a" "darkgreen" 0
"258" 1 "a" "darkgrey" 0
"259" 1 "a" "darkmagenta" 0
"260" 1 "a" "darkolivegreen" 0
"261" 1 "a" "darkorange" 0
"262" 1 "a" "darkred" 0
"263" 1 "a" "darkturquoise" 3
"264" 1 "a" "green" 5
"265" 1 "a" "greenyellow" 0
"266" 1 "a" "grey" 0
"267" 1 "a" "grey60" 5
"268" 1 "a" "lightcyan" 0
"269" 1 "a" "lightgreen" 1
"270" 1 "a" "lightsteelblue1" 4
"271" 1 "a" "lightyellow" 0
"272" 1 "a" "magenta" 0
"273" 1 "a" "mediumpurple3" 0
"274" 1 "a" "midnightblue" 0
"275" 1 "a" "orange" 0
"276" 1 "a" "orangered4" 0
"277" 1 "a" "paleturquoise" 5
"278" 1 "a" "pink" 0
"279" 1 "a" "plum1" 0
"280" 1 "a" "purple" 1
"281" 1 "a" "red" 0
"282" 1 "a" "royalblue" 0
"283" 1 "a" "saddlebrown" NA
"284" 1 "a" "salmon" 0
"285" 1 "a" "sienna3" 0
"286" 1 "a" "skyblue" NA
"287" 1 "a" "skyblue3" 0
"288" 1 "a" "steelblue" 2
"289" 1 "a" "tan" 0
"290" 1 "a" "turquoise" 0
"291" 1 "a" "violet" 0
"292" 1 "a" "white" 0
"293" 1 "a" "yellow" NA
"294" 1 "a" "yellowgreen" 0
"295" 1 "c" "black" 0
"296" 1 "c" "blue" 0
"297" 1 "c" "brown" 0
"298" 1 "c" "cyan" 0
"299" 1 "c" "darkgreen" 0
"300" 1 "c" "darkgrey" 0
"301" 1 "c" "darkmagenta" 0
"302" 1 "c" "darkolivegreen" 0
"303" 1 "c" "darkorange" 0
"304" 1 "c" "darkred" 0
"305" 1 "c" "darkturquoise" 2
"306" 1 "c" "green" 5
"307" 1 "c" "greenyellow" 0
"308" 1 "c" "grey" 1
"309" 1 "c" "grey60" 5
"310" 1 "c" "lightcyan" 0
"311" 1 "c" "lightgreen" 1
"312" 1 "c" "lightsteelblue1" 2
"313" 1 "c" "lightyellow" 1
"314" 1 "c" "magenta" 0
"315" 1 "c" "mediumpurple3" 1
"316" 1 "c" "midnightblue" 0
"317" 1 "c" "orange" 1
"318" 1 "c" "orangered4" 0
"319" 1 "c" "paleturquoise" 5
"320" 1 "c" "pink" 0
"321" 1 "c" "plum1" 0
"322" 1 "c" "purple" 0
"323" 1 "c" "red" 3
"324" 1 "c" "royalblue" 0
"325" 1 "c" "saddlebrown" NA
"326" 1 "c" "salmon" 0
"327" 1 "c" "sienna3" 0
"328" 1 "c" "skyblue" NA
"329" 1 "c" "skyblue3" 0
"330" 1 "c" "steelblue" 2
"331" 1 "c" "tan" 0
"332" 1 "c" "turquoise" 0
"333" 1 "c" "violet" 0
"334" 1 "c" "white" 0
"335" 1 "c" "yellow" NA
"336" 1 "c" "yellowgreen" 0
"337" 1 "h" "black" 0
"338" 1 "h" "blue" 0
"339" 1 "h" "brown" 0
"340" 1 "h" "cyan" 0
"341" 1 "h" "darkgreen" 0
"342" 1 "h" "darkgrey" 0
"343" 1 "h" "darkmagenta" 0
"344" 1 "h" "darkolivegreen" 0
"345" 1 "h" "darkorange" 0
"346" 1 "h" "darkred" 0
"347" 1 "h" "darkturquoise" 1
"348" 1 "h" "green" 5
"349" 1 "h" "greenyellow" 0
"350" 1 "h" "grey" 2
"351" 1 "h" "grey60" 5
"352" 1 "h" "lightcyan" 0
"353" 1 "h" "lightgreen" 1
"354" 1 "h" "lightsteelblue1" 3
"355" 1 "h" "lightyellow" 0
"356" 1 "h" "magenta" 0
"357" 1 "h" "mediumpurple3" 0
"358" 1 "h" "midnightblue" 0
"359" 1 "h" "orange" 1
"360" 1 "h" "orangered4" 0
"361" 1 "h" "paleturquoise" 4
"362" 1 "h" "pink" 0
"363" 1 "h" "plum1" 0
"364" 1 "h" "purple" 0
"365" 1 "h" "red" 0
"366" 1 "h" "royalblue" 0
"367" 1 "h" "saddlebrown" NA
"368" 1 "h" "salmon" 0
"369" 1 "h" "sienna3" 0
"370" 1 "h" "skyblue" NA
"371" 1 "h" "skyblue3" 0
"372" 1 "h" "steelblue" 2
"373" 1 "h" "tan" 0
"374" 1 "h" "turquoise" 0
"375" 1 "h" "violet" 0
"376" 1 "h" "white" 0
"377" 1 "h" "yellow" NA
"378" 1 "h" "yellowgreen" 0
"379" 2 "a" "black" 0
"380" 2 "a" "blue" 0
"381" 2 "a" "brown" 0
"382" 2 "a" "cyan" 0
"383" 2 "a" "darkgreen" 0
"384" 2 "a" "darkgrey" 0
"385" 2 "a" "darkmagenta" 0
"386" 2 "a" "darkolivegreen" 0
"387" 2 "a" "darkorange" 0
"388" 2 "a" "darkred" 0
"389" 2 "a" "darkturquoise" 1
"390" 2 "a" "green" 5
"391" 2 "a" "greenyellow" 0
"392" 2 "a" "grey" 0
"393" 2 "a" "grey60" 4
"394" 2 "a" "lightcyan" 0
"395" 2 "a" "lightgreen" 0
"396" 2 "a" "lightsteelblue1" 1
